language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens
German		fire	221	221	foiər	779	f oi ə r
Hawaiian		fire	221	221	ahi	785	a h i
Navajo		fire	221	221	kõʔ	783	k õ ʔ
Turkish		fire	221	221	ateʃ	-781	a t e ʃ
Albanian		fish	227	227	peʃk	-353	p e ʃ k
English		fish	227	227	fɪʃ	353	f ɪ ʃ
French		fish	227	227	pwasɔ̃	353	p w a s ɔ̃
German		fish	227	227	fiʃ	353	f i ʃ
Hawaiian		fish	227	227	iʔa	356	i ʔ a
Navajo		fish	227	227	ɬoːʔ	355	ɬ oː ʔ
Turkish		fish	227	227	balɯk	354	b a l ɯ k
Albanian		five	493	493	pesə	201	p e s ə
English		five	493	493	faiv	201	f ai v
French		five	493	493	sɛ̃k	201	s ɛ̃ k
German		five	493	493	fynf	201	f y n f
Hawaiian		five	493	493	lima	204	l i m a
Navajo		five	493	493	ʔaʃdˡaʔ	203	ʔ a ʃ dˡ a ʔ
Turkish		five	493	493	beʃ	202	b e ʃ
Albanian		flow	2003	2003	rːeð	1177	rː e ð
English		flow	2003	2003	flo	1174	f l o
French		flow	2003	2003	kule	1175	k u l e
German		flow	2003	2003	fliːs	1174	f l iː s
Hawaiian		flow	2003	2003	kahe	1180	k a h e
Navajo		flow	2003	2003	jigeːh	1178	j i g eː h
Turkish		flow	2003	2003	ak	1176	a k
Albanian		flower	239	239	lul	-423	l u l
English		flower	239	239	flauər	-421	f l au ə r
French		flower	239	239	flœr	421	f l œ r
German		flower	239	239	bluːm	421	b l uː m
Hawaiian		flower	239	239	pua	425	p u a
Navajo		flower	239	239	ʧˀilaytah	424	tʃˀ i l ai t a h
Turkish		flower	239	239	ʧiʧek	422	tʃ i tʃ e k
Albanian		fly	1441	1441	fluturo	844	f l u t u r o
English		fly	1441	1441	flai	841	f l ai
French		fly	1441	1441	vɔle	842	v ɔ l e
German		fly	1441	1441	fliːg	841	f l iː g
Hawaiian		fly	1441	1441	lele	846	l e l e
Navajo		fly	1441	1441	jitˀah	845	j i tˀ a h
Turkish		fly	1441	1441	uʧ	843	u tʃ
Albanian		fog	249	249	mjeguł	470	m j e g u lˠ
English		fog	249	249	fɑg	-468	f ɑ g
French		fog	249	249	brujar	-467	b r u j a r
German		fog	249	249	neːbəl	466	n eː b ə l
Hawaiian		fog	249	249	ʔohu	472	ʔ o h u
Navajo		fog	249	249	ayhi	471	ai h i
Turkish		fog	249	249	sis	469	s i s
Albanian		foot	1301	1301	kəmb	-229	k ə m b
English		foot	1301	1301	fʊt	227	f ʊ t
French		foot	1301	1301	pje	227	p j e
German		foot	1301	1301	fuːs	227	f uː s
Hawaiian		foot	1301	1301	waːwae	231	w aː w a e
Navajo		foot	1301	1301	keːʔ	230	k eː ʔ
Turkish		foot	1301	1301	ajak	228	a j a k
Albanian		four	1500	1500	katər	20	k a t ə r
English		four	1500	1500	fɔr	20	f ɔ r
French		four	1500	1500	katr	20	k a t r
German		four	1500	1500	fiːr	20	f iː r
Hawaiian		four	1500	1500	haː	23	h aː
Navajo		four	1500	1500	dĩːʔ	22	d ĩː ʔ
Turkish		four	1500	1500	dørt	21	d ø r t
Albanian		freeze	1431	1431	ngri	376	n g r i
English		freeze	1431	1431	friz	373	f r i z
French		freeze	1431	1431	ʒɛle	374	ʒ ɛ l e
German		freeze	1431	1431	friːr	373	f r iː r
Hawaiian		freeze	1431	1431	hoʔopaʔa	378	h o ʔ o p a ʔ a
Navajo		freeze	1431	1431	jiʃtin	377	j i ʃ t i n
Turkish		freeze	1431	1431	don	375	d o n
Albanian		fruit	1507	1507	pem	-1102	p e m
English		fruit	1507	1507	frut	-1100	f r u t
French		fruit	1507	1507	frɥi	1100	f r ɥ i
German		fruit	1507	1507	fruxt	-1100	f r u x t
Hawaiian		fruit	1507	1507	hua	1104	h u a
Navajo		fruit	1507	1507	bineːstˀãʔ	1103	b i n eː s tˀ ã ʔ
Turkish		fruit	1507	1507	mejva	-1101	m e j v a
Albanian		full	1429	1429	plot	503	p l o t
English		full	1429	1429	fʊl	503	f ʊ l
French		full	1429	1429	plɛn	503	p l ɛ n
German		full	1429	1429	fol	503	f o l
Hawaiian		full	1429	1429	piha	506	p i h a
Navajo		full	1429	1429	hadibin	505	h a d i b i n
Turkish		full	1429	1429	dolu	504	d o l u
Albanian		give	1447	1447	jep	936	j e p
English		give	1447	1447	gɪv	-933	g ɪ v
French		give	1447	1447	dɔne	934	d ɔ n e
German		give	1447	1447	geːb	933	g eː b
Hawaiian		give	1447	1447	haːʔawi	938	h aː ʔ a w i
Navajo		give	1447	1447	niʔaːh	937	n i ʔ aː h
Turkish		give	1447	1447	ver	935	v e r
Albanian		go	695	695	ʃko	62	ʃ k o
English		go	695	695	go	59	g o
French		go	695	695	v	60	v
German		go	695	695	geː	59	g eː
Hawaiian		go	695	695	hele	65	h e l e
Navajo		go	695	695	jiɣaːh	63	j i ɣ aː h
Turkish		go	695	695	jyry	61	j y r y
Albanian		good	1035	1035	mir	-170	m i r
English		good	1035	1035	gʊd	167	g ʊ d
French		good	1035	1035	bɔn	168	b ɔ n
German		good	1035	1035	guːt	167	g uː t
Hawaiian		good	1035	1035	maikaʔi	172	m a i k a ʔ i
Navajo		good	1035	1035	jayʔaytˀeːh	171	j ai ʔ ai tˀ eː h
Turkish		good	1035	1035	iji	169	i j i
Albanian		grass	606	606	bar	907	b a r
English		grass	606	606	gras	904	g r a s
French		grass	606	606	ɛrb	905	ɛ r b
German		grass	606	606	graːz	904	g r aː z
Hawaiian		grass	606	606	mauʔu	910	m a u ʔ u
Navajo		grass	606	606	tˡˀoh	908	tˡˀ o h
Turkish		grass	606	606	ot	906	o t
Albanian		grease	323	323	ðjam	-393	ð j a m
English		grease	323	323	gris	-391	g r i s
French		grease	323	323	grɛs	391	g r ɛ s
German		grease	323	323	fet	-390	f e t
Hawaiian		grease	323	323	ʔaila	-396	ʔ a i l a
Navajo		grease	323	323	kˀah	394	kˀ a h
Turkish		grease	323	323	jaɣ	392	j a ɣ
Albanian		green	1425	1425	ɟelbər	-1194	ɟ e l b ə r
English		green	1425	1425	grin	1191	g r i n
French		green	1425	1425	vɛrt	1192	v ɛ r t
German		green	1425	1425	gryːn	1191	g r yː n
Hawaiian		green	1425	1425	ʔoːmaʔomaʔo	1196	ʔ oː m a ʔ o m a ʔ o
Navajo		green	1425	1425	doːtˡˀiʒ	1195	d oː tˡˀ i ʒ
Turkish		green	1425	1425	jeʃil	1193	j e ʃ i l
Albanian		guts	1334	1334	zorː	103	z o rː
English		guts	1334	1334	gət	101	g ə t
French		guts	1334	1334	ɛ̃tɛstɛ̃	-100	ɛ̃ t ɛ s t ɛ̃
German		guts	1334	1334	darm	99	d a r m
Hawaiian		guts	1334	1334	naʔau	105	n a ʔ a u
Navajo		guts	1334	1334	ʧˀiːʔ	104	tʃˀ iː ʔ
Turkish		guts	1334	1334	barsak	102	b a r s a k
Albanian		hair	1040	1040	flok	-382	f l o k
English		hair	1040	1040	hɛr	-379	h ɛ r
French		hair	1040	1040	ʃəvø	380	ʃ ə v ø
German		hair	1040	1040	haːr	379	h aː r
Hawaiian		hair	1040	1040	lauoho	384	l a u o h o
Navajo		hair	1040	1040	ʦiːɣaʔ	383	ts iː ɣ a ʔ
Turkish		hair	1040	1040	saʧ	381	s a tʃ
Albanian		hand	1277	1277	dor	1097	d o r
English		hand	1277	1277	hand	1094	h a n d
French		hand	1277	1277	mɛ̃	1095	m ɛ̃
German		hand	1277	1277	hand	1094	h a n d
Hawaiian		hand	1277	1277	lima	1099	l i m a
Navajo		hand	1277	1277	laʔ	1098	l a ʔ
Turkish		hand	1277	1277	el	1096	e l
Albanian		he	1211	1211	ai	837	a i
English		he	1211	1211	hi	835	h i
French		he	1211	1211	il	834	i l
German		he	1211	1211	eːr	833	eː r
Hawaiian		he	1211	1211	ia	840	i a
Navajo		he	1211	1211	bi	838	b i
Turkish		he	1211	1211	on	836	o n
Albanian		head	1256	1256	kok	762	k o k
English		head	1256	1256	hɛd	760	h ɛ d
French		head	1256	1256	tɛt	759	t ɛ t
German		head	1256	1256	kop͡f	-758	k o pf
Hawaiian		head	1256	1256	poʔo	764	p o ʔ o
Navajo		head	1256	1256	ʦiːʔ	763	ts iː ʔ
Turkish		head	1256	1256	baʃ	761	b a ʃ
Albanian		hear	1408	1408	dəɟo	789	d ə ɟ o
English		hear	1408	1408	hɪr	786	h ɪ r
French		hear	1408	1408	ɑ̃tɑ̃d	787	ɑ̃ t ɑ̃ d
German		hear	1408	1408	høːr	786	h øː r
Hawaiian		hear	1408	1408	lohe	792	l o h e
Navajo		hear	1408	1408	diːʦˀaʔ	790	d iː tsˀ a ʔ
Turkish		hear	1408	1408	iʃit	788	i ʃ i t
Albanian		heart	1223	1223	zemər	922	z e m ə r
English		heart	1223	1223	hɑrt	920	h ɑ r t
French		heart	1223	1223	kœr	920	k œ r
German		heart	1223	1223	herʦən	920	h e r ts ə n
Hawaiian		heart	1223	1223	puʔuwai	924	p u ʔ u w a i
Navajo		heart	1223	1223	ʤeidiʃʤoːl	923	dʒ e i d i ʃ dʒ oː l
Turkish		heart	1223	1223	jyrek	921	j y r e k
Albanian		heavy	1210	1210	rənd	331	r ə n d
English		heavy	1210	1210	hɛvi	329	h ɛ v i
French		heavy	1210	1210	lurd	328	l u r d
German		heavy	1210	1210	ʃveːr	327	ʃ v eː r
Hawaiian		heavy	1210	1210	kaumaha	334	k a u m a h a
Navajo		heavy	1210	1210	ndaːz	332	n d aː z
Turkish		heavy	1210	1210	aɣɯr	330	a ɣ ɯ r
Albanian		here	136	136	kətu	523	k ə t u
English		here	136	136	hɪr	520	h ɪ r
French		here	136	136	isi	521	i s i
German		here	136	136	hiːr	520	h iː r
Hawaiian		here	136	136	nei	526	n e i
Navajo		here	136	136	kweʔe	524	kʷ e ʔ e
Turkish		here	136	136	bura	522	b u r a
Albanian		hit	1433	1433	cəło	177	c ə lˠ o
